Age,Tm,Opp,FG%,3P%,TRB,BLK,PTS,win_flag,total
21,03_10CLE,PHO,0.515,0.429,11,1,44,1,1
21,03_10CLE,CHA,0.579,0.333,6,1,30,1,1
21,03_10CLE,NJN,0.381,0,11,1,26,1,1
21,03_10CLE,MIA,0.414,0.4,5,0,29,0,1
21,03_10CLE,PHI,0.588,0.286,4,1,31,0,1
21,03_10CLE,MIL,0.45,0.286,9,2,22,1,1
21,03_10CLE,MIN,0.324,0.2,11,0,35,1,1
21,03_10CLE,WAS,0.261,0,9,0,18,0,1
21,03_10CLE,GSW,0.588,0.833,5,2,33,0,1
21,03_10CLE,SAS,0.576,0.333,3,0,44,1,1
21,03_10CLE,BOS,0.5,0,12,4,43,1,1
21,03_10CLE,ORL,0.417,0.2,2,2,26,1,1
21,03_10CLE,PHI,0.542,0.25,6,1,33,0,1
21,03_10CLE,WAS,0.333,0.375,7,0,25,0,1
21,03_10CLE,DET,0.45,0.667,9,0,22,0,1
21,03_10CLE,DET,0.409,0,4,1,26,0,1
21,03_10CLE,SAC,0.333,0.25,7,2,19,0,1
21,03_10CLE,CHI,0.407,0,11,1,33,1,1
21,03_10CLE,CHI,0.536,0.333,9,0,37,1,1
21,03_10CLE,TOR,0.294,0.333,12,0,17,1,1
21,03_10CLE,TOR,0.542,0.333,6,0,35,1,1
21,03_10CLE,ORL,0.409,0.333,7,1,25,0,1
21,03_10CLE,MIA,0.407,0.167,7,1,47,0,1
21,03_10CLE,DAL,0.519,0,12,2,36,0,1
21,03_10CLE,POR,0.391,0.167,9,0,27,1,1
21,03_10CLE,LAL,0.417,0.75,8,0,29,1,1
21,03_10CLE,CHA,0.476,0.2,11,1,37,1,1
21,03_10CLE,BOS,0.5,0.5,7,3,36,1,1
21,03_10CLE,HOU,0.412,0,6,0,36,1,1
21,03_10CLE,DAL,0.696,0.571,5,0,46,1,1
21,03_10CLE,MIA,0.64,0.333,12,0,47,1,1
21,03_10CLE,CHA,0.542,0.4,12,2,35,1,1
21,03_10CLE,PHI,0.591,0.4,4,0,37,1,1
21,03_10CLE,NYK,0.5,0.571,2,0,36,0,1
21,03_10CLE,NJN,0.462,0,5,0,37,1,1
21,03_10CLE,NOK,0.5,0,4,0,32,1,1
21,03_10CLE,DET,0.444,0,3,0,22,0,1
22,03_10CLE,WAS,0.5,0,9,0,23,1,1
22,03_10CLE,WAS,0.364,0,8,2,27,1,1
22,03_10CLE,WAS,0.5,0.6,6,0,30,1,1
22,03_10CLE,WAS,0.364,0.2,11,1,31,1,1
22,03_10CLE,NJN,0.381,0.25,11,1,21,1,1
22,03_10CLE,NJN,0.5,0.429,1,0,36,1,1
22,03_10CLE,NJN,0.313,0.2,6,0,18,0,1
22,03_10CLE,NJN,0.563,0.667,9,0,30,1,1
22,03_10CLE,NJN,0.357,0,9,1,20,0,1
22,03_10CLE,NJN,0.4,0.2,8,0,23,1,1
22,03_10CLE,DET,0.368,0,6,0,19,0,1
22,03_10CLE,DET,0.571,0.667,9,0,32,1,1
22,03_10CLE,DET,0.421,0.2,7,0,25,1,1
22,03_10CLE,DET,0.545,0.667,9,0,48,1,1
22,03_10CLE,DET,0.273,0,14,2,20,1,1
22,03_10CLE,SAS,0.25,0.333,7,1,14,0,1
22,03_10CLE,SAS,0.429,0,7,0,25,0,1
22,03_10CLE,SAS,0.391,0,8,1,25,0,1
22,03_10CLE,SAS,0.333,0.286,6,0,24,0,1
21,03_10CLE,WAS,0.458,0.5,10,2,26,1,1
21,03_10CLE,SAS,0.538,0.5,10,1,35,1,1
21,03_10CLE,CHA,0.231,0.333,9,1,16,0,1
21,03_10CLE,ATL,0.5,0.375,7,1,34,0,1
21,03_10CLE,CHI,0.462,0,4,2,19,1,1
21,03_10CLE,BOS,0.529,0.25,8,0,38,1,1
21,03_10CLE,NYK,0.526,0.75,4,1,29,1,1
21,03_10CLE,POR,0.667,0.5,7,1,32,1,1
21,03_10CLE,MIN,0.5,0.4,9,2,37,1,1
21,03_10CLE,WAS,0.4,0,5,0,20,0,1
21,03_10CLE,MEM,0.333,0.2,1,1,15,1,1
21,03_10CLE,TOR,0.458,0.286,10,0,30,0,1
21,03_10CLE,IND,0.429,1,7,0,30,0,1
