SHOT_ZONE_BASIC,AGE,LOC_X,LOC_Y,SHOT_ACCURACY,SHOT_ACCURACY_LAB
In The Paint (Non-RA),23,-7.628787878787879,59.43939393939394,0.3787878787878788,37.9%
In The Paint (Non-RA),24,3.4484848484848483,63.660606060606064,0.3878787878787879,38.8%
In The Paint (Non-RA),25,-5.641379310344828,60.220689655172414,0.4206896551724138,42.1%
In The Paint (Non-RA),26,-7.815789473684211,63.18421052631579,0.4407894736842105,44.1%
In The Paint (Non-RA),27,-3.242152466367713,63.766816143497756,0.43946188340807174,43.9%
In The Paint (Non-RA),28,-9.738805970149254,54.723880597014926,0.5223880597014925,52.2%
In The Paint (Non-RA),29,-8.191780821917808,55.6986301369863,0.4657534246575342,46.6%
In The Paint (Non-RA),30,-2.225165562913907,55.94039735099338,0.4105960264900662,41.1%
In The Paint (Non-RA),31,-9.511811023622048,55.93700787401575,0.3700787401574803,37%
In The Paint (Non-RA),32,-6.425196850393701,59.32283464566929,0.4015748031496063,40.2%
In The Paint (Non-RA),33,-1.6742857142857144,63.46857142857143,0.3314285714285714,33.1%
In The Paint (Non-RA),34,0.8035714285714286,68.0625,0.3125,31.2%
In The Paint (Non-RA),35,7.696969696969697,72.3030303030303,0.36363636363636365,36.4%
In The Paint (Non-RA),36,-4.767605633802817,70.30985915492958,0.4084507042253521,40.8%
In The Paint (Non-RA),37,5.285714285714286,56.26984126984127,0.42857142857142855,42.9%
Left Corner 3,18,-235.05882352941177,4.823529411764706,0.47058823529411764,47.1%
Left Corner 3,19,-231.95,9.2,0.15,15%
Left Corner 3,20,-233.5185185185185,11.37037037037037,0.6666666666666666,66.7%
Left Corner 3,21,-233.71428571428572,9.107142857142858,0.39285714285714285,39.3%
Left Corner 3,22,-230.5,20,0.4444444444444444,44.4%
Left Corner 3,23,-234.23809523809524,33.42857142857143,0.2857142857142857,28.6%
Left Corner 3,24,-234,35.16216216216216,0.3783783783783784,37.8%
Left Corner 3,25,-231.8684210526316,25.5,0.39473684210526316,39.5%
Left Corner 3,26,-232.4,25.1,0.4,40%
Left Corner 3,27,-233.83333333333334,14.666666666666666,0.4166666666666667,41.7%
Left Corner 3,28,-234.53846153846155,13.153846153846153,0.5384615384615384,53.8%
Left Corner 3,29,-232,14.227272727272727,0.5,50%
Left Corner 3,30,-234.76190476190476,24.571428571428573,0.19047619047619047,19%
Left Corner 3,31,-233.47368421052633,25.157894736842106,0.42105263157894735,42.1%
Left Corner 3,32,-232.69565217391303,15.782608695652174,0.34782608695652173,34.8%
Left Corner 3,33,-229.125,16.5,0.375,37.5%
Left Corner 3,34,-230.57142857142858,7.357142857142857,0.42857142857142855,42.9%
Left Corner 3,35,-231.4,31.6,0.4,40%
Left Corner 3,36,-229.21052631578948,23.31578947368421,0.47368421052631576,47.4%
Left Corner 3,37,-227,16.333333333333332,0.4444444444444444,44.4%
Mid-Range,18,-1.146788990825688,69.95871559633028,0.3623853211009174,36.2%
Mid-Range,19,6.648044692737431,67.08566108007449,0.33147113594040967,33.1%
Mid-Range,20,6.863013698630137,74.78767123287672,0.363013698630137,36.3%
Mid-Range,21,-7.932411674347159,88.50691244239631,0.37327188940092165,37.3%
Mid-Range,22,9.627697841726619,93.0431654676259,0.35431654676258995,35.4%
Mid-Range,23,-23.226120857699804,104.9298245614035,0.3762183235867446,37.6%
Mid-Range,24,-0.19230769230769232,127.59265734265735,0.3741258741258741,37.4%
Mid-Range,25,-6.738095238095238,120.83549783549783,0.3852813852813853,38.5%
Mid-Range,26,-25.721003134796238,111.55172413793103,0.48589341692789967,48.6%
Mid-Range,27,-35.91901408450704,97.33098591549296,0.4154929577464789,41.5%
Mid-Range,28,-35.731778425655975,101.82215743440233,0.42565597667638483,42.6%
Mid-Range,29,-35.60490463215259,90.34059945504087,0.39509536784741145,39.5%
Mid-Range,30,-47.27160493827161,89.3425925925926,0.345679012345679,34.6%
Mid-Range,31,-34.06930693069307,78.33993399339934,0.38283828382838286,38.3%
Mid-Range,32,-24.410526315789475,87.05263157894737,0.3824561403508772,38.2%
Mid-Range,33,-14.010989010989011,109.01831501831502,0.4065934065934066,40.7%
Mid-Range,34,-24.101190476190474,116.51785714285714,0.39880952380952384,39.9%
Mid-Range,35,-37.36538461538461,100.72115384615384,0.28846153846153844,28.8%
Mid-Range,36,-16.428571428571427,99.8125,0.41964285714285715,42%
