Date,Age,Tm,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2009-12-21,24-356,03_10CLE,PHO,W (+18),1,38:26,11,21,0.524,1,3,0.333,6,6,1.000,1,5,6,4,2,0,3,3,29,21.5,26
2009-12-23,24-358,03_10CLE,SAC,W (+13),1,43:41,14,30,0.467,1,4,0.250,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,26
2009-12-25,24-360,03_10CLE,LAL,W (+15),1,40:44,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8
2009-12-27,24-362,03_10CLE,HOU,W (+25),1,29:26,12,20,0.600,2,5,0.400,3,4,0.750,2,3,5,6,3,1,1,0,29,28.6,16
2009-12-29,24-364,03_10CLE,ATL,W (+11),1,39:36,6,20,0.300,0,5,0.000,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6
2009-12-30,25-000,03_10CLE,ATL,W (+5),1,43:12,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7
2010-01-02,25-003,03_10CLE,NJN,W (+8),1,36:27,7,16,0.438,1,4,0.250,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10
2010-01-03,25-004,03_10CLE,CHA,L (-3),1,42:51,13,21,0.619,2,6,0.333,1,2,0.500,0,7,7,6,1,1,1,3,29,24.9,-2
2010-01-06,25-007,03_10CLE,WAS,W (+23),1,30:50,7,12,0.583,1,4,0.250,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16
2010-01-08,25-009,03_10CLE,DEN,L (-2),1,41:18,12,28,0.429,2,8,0.250,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6
2010-01-10,25-011,03_10CLE,POR,W (+12),1,45:16,13,19,0.684,3,4,0.750,12,14,0.857,0,10,10,8,0,1,3,1,41,38.0,16
2010-01-11,25-012,03_10CLE,GSW,W (+3),1,41:37,12,23,0.522,1,4,0.250,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12
2010-01-14,25-015,03_10CLE,UTA,L (-1),1,40:25,12,20,0.600,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7
2010-01-16,25-017,03_10CLE,LAC,W (+1),1,38:54,12,20,0.600,3,6,0.500,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1
2010-01-19,25-020,03_10CLE,TOR,W (+8),1,41:01,8,18,0.444,0,7,0.000,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12
2010-01-21,25-022,03_10CLE,LAL,W (+6),1,40:24,13,25,0.520,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5
2010-01-23,25-024,03_10CLE,OKC,W (+1),1,42:38,9,19,0.474,6,10,0.600,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1
2010-01-25,25-026,03_10CLE,MIA,W (+1),1,38:31,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1
2010-01-27,25-028,03_10CLE,MIN,W (+14),1,30:33,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15.0,16
2010-01-29,25-030,03_10CLE,IND,W (+21),1,35:39,6,18,0.333,0,4,0.000,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22
2010-01-31,25-032,03_10CLE,LAC,W (+25),1,39:55,10,20,0.500,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,1,32,30.2,15
2010-02-02,25-034,03_10CLE,MEM,W (+16),1,37:07,7,14,0.500,1,4,0.250,7,7,1.000,1,5,6,15,1,1,4,2,22,24.6,19
2010-02-04,25-036,03_10CLE,MIA,W (+16),1,40:06,9,16,0.563,1,4,0.250,17,21,0.810,2,5,7,8,2,0,4,1,36,32.9,20
2010-02-06,25-038,03_10CLE,NYK,W (+7),1,43:51,17,31,0.548,6,12,0.500,7,7,1.000,1,7,8,8,5,0,5,2,47,39.7,4
2010-02-09,25-041,03_10CLE,NJN,W (+7),1,42:21,13,21,0.619,1,4,0.250,5,9,0.556,0,3,3,11,1,0,3,0,32,27.5,-2
